ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,PRIORS,SCHOOL,RULE,TSERVD,FOLLOW,TIME,FILE,sensitive,label,sens_1,sens_2
0,0,1,0,0,0,0,0,1,8,0,1,81,0,3,1,0,2,3
0,0,1,0,0,0,0,0,2,11,0,1,80,0,3,1,0,2,3
1,0,1,1,0,1,0,0,0,7,2,30,72,0,1,1,0,2,2
0,0,1,1,0,0,0,0,0,11,0,4,81,0,2,1,0,3,1
0,0,0,0,0,1,0,0,0,0,3,13,76,0,3,1,0,3,1
0,0,0,0,0,0,0,0,1,10,2,17,76,50,3,1,1,3,1
0,0,1,0,0,1,0,0,1,9,1,43,71,29,2,1,1,3,1
0,0,1,0,0,1,0,0,1,6,3,18,73,32,3,1,1,3,1
0,0,1,0,1,0,1,0,0,12,5,40,78,28,3,1,1,1,1
0,0,0,1,0,0,0,0,2,9,0,3,76,0,3,1,0,0,2
0,0,0,0,0,1,0,0,0,14,0,9,70,0,1,0,0,3,1
0,0,0,0,1,0,0,0,0,10,0,8,76,0,2,1,0,1,1
0,0,0,1,1,0,0,0,0,9,4,25,79,0,2,1,0,3,1
0,0,0,0,0,1,0,0,15,0,0,12,77,0,3,1,0,0,3
0,0,1,0,1,1,1,0,0,12,0,19,75,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,9,0,3,80,0,3,0,0,1,1
0,0,1,0,1,0,1,0,4,10,1,25,72,0,3,1,0,1,1
0,0,1,0,1,1,1,0,0,10,0,26,80,0,3,1,0,1,0
0,0,1,0,1,1,0,0,0,16,0,17,79,67,2,1,1,3,1
0,0,1,0,0,0,0,0,5,12,0,2,78,20,3,1,1,0,2
0,0,0,1,0,0,1,0,8,9,0,7,73,5,2,1,1,3,1
0,0,0,1,1,1,0,1,1,8,4,48,79,6,3,1,1,3,1
0,0,1,0,0,0,0,0,7,6,0,9,73,0,3,1,0,2,3
0,0,0,0,0,1,1,0,0,9,5,27,81,9,1,1,1,3,1
0,0,0,0,0,0,0,0,6,6,0,9,79,0,3,1,0,2,3
0,0,1,0,0,0,0,0,0,10,3,20,80,39,2,1,1,3,0
0,0,1,0,0,0,0,0,0,9,0,3,73,0,3,0,0,2,3
0,0,1,0,1,0,1,0,1,9,0,9,78,70,3,1,1,1,1
0,0,1,1,1,1,0,1,0,3,1,76,76,0,3,1,0,1,1
0,0,1,1,1,1,1,0,1,12,0,41,72,0,3,1,0,2,2
0,1,1,0,1,0,1,0,2,9,2,52,81,16,2,1,1,1,0
0,0,1,0,0,1,0,0,0,11,0,8,71,0,3,1,0,1,1
0,0,1,0,0,0,0,0,0,10,1,12,76,28,3,1,1,1,0
0,0,1,0,1,0,0,0,0,8,1,21,75,19,3,1,1,3,0
0,0,1,1,0,1,0,0,1,12,1,12,80,0,3,1,0,3,1
0,1,1,0,1,1,1,0,2,9,3,38,76,25,1,1,1,3,1
0,0,0,1,0,0,0,0,0,6,1,20,71,0,2,1,0,3,1
0,0,1,0,0,0,0,0,0,2,0,2,72,0,3,1,0,1,1
0,0,1,1,0,1,0,0,4,4,2,18,78,0,3,1,0,0,3
0,0,0,0,0,0,0,0,0,11,0,3,81,14,3,1,1,3,0
0,0,0,0,0,0,0,0,0,14,0,5,70,0,3,1,0,0,2
0,0,1,0,0,0,0,0,-9,6,0,13,75,70,3,1,1,2,3
0,0,1,1,0,1,0,0,0,12,0,9,80,58,2,0,1,1,1
0,0,1,0,1,1,1,0,0,8,0,27,81,0,3,1,0,3,1
0,0,1,0,0,0,0,0,0,12,0,3,72,0,3,0,0,3,1
0,1,1,0,0,0,0,0,0,9,0,4,81,0,1,1,0,3,0
0,0,0,0,1,0,1,0,1,9,1,23,74,58,3,1,1,3,0
0,0,1,1,1,0,0,0,0,11,6,31,77,20,3,1,1,1,1
0,1,1,0,1,0,0,1,0,9,1,18,71,0,2,1,0,3,1
0,0,0,0,0,0,0,0,1,7,1,3,74,0,3,1,0,3,0
0,0,1,0,0,1,1,0,0,6,0,19,79,0,2,1,0,1,1
0,0,1,0,0,1,0,0,1,12,0,13,79,0,1,1,0,1,1
1,0,1,1,0,0,0,0,0,4,0,4,70,0,2,1,0,0,3
0,0,1,1,0,1,0,0,-9,15,0,33,80,0,3,1,0,0,0
0,0,0,1,0,0,0,0,2,8,0,6,74,0,2,1,0,0,2
1,0,1,0,0,0,0,0,0,12,2,28,73,0,1,1,0,1,1
0,0,1,1,0,0,0,0,0,13,0,12,79,0,3,1,0,1,1
0,0,0,1,0,0,0,0,0,10,0,5,80,60,2,1,1,3,1
0,0,0,0,0,0,0,0,0,14,0,8,76,0,3,1,0,2,3
0,0,1,0,1,0,1,0,-9,12,1,40,72,0,3,1,0,2,2
0,0,1,0,1,1,1,0,5,10,3,73,73,20,2,1,1,0,2
0,0,1,1,0,0,0,0,0,0,0,10,78,0,3,0,0,3,0
0,0,1,0,1,1,1,0,-9,12,2,44,71,0,3,1,0,1,1
0,0,1,0,1,1,1,0,2,10,3,34,73,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,14,1,5,76,0,3,1,0,1,1
0,0,1,0,0,0,0,0,0,9,0,36,77,33,2,1,1,1,0
0,0,1,0,1,0,1,0,0,10,7,28,70,0,3,1,0,1,0
0,0,1,0,1,1,0,0,1,9,2,33,71,0,2,0,0,0,2
0,0,1,0,0,1,0,0,0,9,0,1,71,0,3,1,0,3,0
0,0,1,0,1,1,1,0,-9,11,1,26,78,0,3,1,0,1,1
0,0,1,1,0,0,0,0,2,10,0,14,73,54,1,1,1,2,2
0,0,1,0,0,0,0,0,0,9,0,4,80,0,3,1,0,1,0
0,0,1,0,1,0,1,0,0,9,2,26,78,57,3,1,1,1,0
0,0,0,0,0,0,0,0,0,11,1,7,73,0,2,1,0,1,0
0,0,0,0,0,0,0,0,1,6,0,5,71,7,2,1,1,0,2
0,0,0,0,0,0,0,0,0,10,0,6,78,0,3,1,0,1,0
0,0,1,1,1,1,0,1,1,12,4,132,74,0,3,1,0,0,3
0,0,1,0,1,1,0,1,0,6,0,36,73,35,1,0,1,1,1
0,0,0,0,0,0,0,0,0,10,0,7,73,0,3,1,0,1,0
0,0,1,1,1,1,1,0,0,6,0,63,81,0,3,1,0,1,1
1,0,1,0,0,1,0,0,0,12,0,8,71,0,2,1,0,0,2
0,1,1,1,0,1,0,0,7,10,0,36,81,0,2,1,0,2,2
0,0,1,1,1,1,0,0,0,11,2,32,73,60,1,1,1,0,2
0,0,0,0,0,0,0,0,1,10,3,7,74,0,2,1,0,3,1
0,1,1,0,1,1,1,0,4,8,0,33,72,0,2,1,0,2,3
0,0,1,0,0,0,0,0,-9,10,1,13,78,42,3,1,1,1,0
1,0,1,1,0,1,0,0,0,6,0,4,70,0,1,1,0,0,2
0,0,0,1,0,0,0,0,0,11,1,2,80,0,2,1,0,0,2
1,0,0,1,0,0,0,0,1,12,0,7,72,54,2,1,1,0,3
0,0,0,0,0,0,0,0,0,12,1,9,80,73,1,1,1,1,1
0,0,1,0,1,1,1,0,3,10,1,27,73,14,2,1,1,1,1
0,0,0,0,1,0,0,0,1,0,0,12,78,0,3,1,0,3,1
0,0,1,0,1,0,1,0,0,10,0,12,81,0,2,1,0,2,3
0,0,1,0,1,0,0,0,1,8,5,61,74,8,3,1,1,3,0
0,0,1,1,1,1,0,0,0,11,0,9,80,0,1,1,0,0,3
0,1,1,0,0,0,0,0,2,10,2,18,71,48,2,1,1,3,1
0,1,0,0,0,0,0,0,0,9,0,8,77,14,3,1,1,1,0
0,0,1,0,0,1,0,0,2,11,0,25,78,65,3,1,1,0,2
0,0,1,1,0,1,0,0,2,12,0,10,71,0,2,1,0,0,2
1,0,0,1,1,1,1,0,0,10,5,43,76,0,1,1,0,1,1
0,0,1,1,0,0,0,0,5,7,0,2,78,0,3,1,0,0,2
1,0,1,0,1,0,1,0,0,15,1,14,81,0,2,0,0,0,2
0,0,1,0,1,1,0,0,0,11,0,24,77,0,3,1,0,3,0
0,0,1,1,0,1,0,0,1,10,1,5,71,4,3,1,1,2,2
1,1,1,0,0,0,0,0,2,7,0,5,80,58,2,1,1,2,3
0,0,1,1,1,1,1,0,0,11,5,105,73,21,3,1,1,1,1
0,0,1,1,1,0,0,0,1,10,10,63,73,64,3,1,1,0,2
1,0,1,0,0,0,0,0,2,11,0,7,72,0,1,1,0,1,1
0,0,0,0,0,0,0,0,-9,0,0,0,78,7,3,1,1,3,1
0,0,1,0,0,1,0,0,0,9,0,12,80,0,3,1,0,3,1
1,1,1,1,0,0,0,0,0,9,0,6,74,0,2,1,0,3,0
0,0,0,0,0,0,0,0,2,10,2,9,78,25,2,1,1,1,1
1,1,1,0,1,1,1,0,-9,7,7,83,80,16,3,1,1,3,1
0,0,1,0,0,0,0,0,0,10,0,2,71,42,3,1,1,2,2
0,0,1,0,0,0,0,0,-9,9,0,2,78,13,3,1,1,1,1
0,0,1,0,0,0,0,0,0,8,0,1,80,0,3,1,0,3,1
1,0,1,1,0,1,0,0,0,10,1,19,76,7,1,1,1,3,1
0,0,0,0,0,0,0,0,2,9,1,12,73,21,3,1,1,1,0
1,0,1,1,1,1,1,0,2,12,1,62,72,3,2,1,1,0,3
0,0,1,1,0,0,0,0,8,8,0,3,79,49,3,1,1,2,3
0,0,1,0,1,0,0,1,0,8,0,29,72,73,2,1,0,1,0
0,0,1,1,0,1,0,0,2,10,3,96,75,0,3,1,0,0,3
0,0,0,1,0,0,0,0,0,8,0,10,80,0,1,1,0,1,1
0,0,1,0,1,1,1,0,0,10,0,26,80,5,3,1,1,3,0
0,0,1,0,1,0,1,0,0,12,0,11,78,0,2,1,0,3,1
0,1,0,0,0,0,0,0,-9,17,3,35,80,30,3,1,1,0,3
0,0,1,0,0,1,0,1,2,3,0,6,71,0,2,1,0,0,3
0,0,0,0,0,0,0,0,0,11,0,3,72,30,1,1,1,1,0
0,0,0,0,0,1,0,0,-9,11,0,2,76,0,3,1,0,1,1
0,0,0,0,0,0,0,0,0,6,1,6,74,0,3,1,0,1,1
0,0,1,0,0,0,0,0,0,9,0,2,71,0,3,1,0,1,1
0,1,1,1,0,1,0,0,2,9,1,16,76,57,2,1,1,1,1
0,0,1,0,0,0,0,0,0,10,0,8,75,34,3,1,1,1,0
0,0,1,0,1,1,1,0,-9,12,0,35,71,44,3,1,1,0,2
0,0,1,1,0,1,1,0,0,11,4,32,76,0,2,0,0,1,1
0,0,1,0,1,0,1,0,-9,9,0,25,78,54,3,1,1,0,3
0,0,0,1,0,0,0,0,0,6,0,14,78,9,3,1,1,0,2
0,0,1,0,1,0,1,0,0,9,3,28,72,23,1,1,1,1,1
0,0,1,1,0,0,0,0,0,11,0,1,80,0,3,0,0,1,0
0,0,0,0,0,0,0,0,0,9,1,11,72,0,2,1,0,1,0
0,0,0,0,0,0,0,0,1,12,4,11,81,63,3,1,1,1,1
0,0,1,1,1,0,0,1,10,0,1,107,75,0,3,1,0,0,3
1,0,1,0,0,0,0,0,2,4,0,9,70,0,2,1,0,0,3
0,0,1,0,1,0,1,0,0,11,4,29,78,0,1,1,0,3,1
0,0,0,0,1,0,0,0,0,12,4,21,81,1,2,1,1,3,1
0,0,0,0,0,1,0,0,4,8,0,6,80,54,3,1,1,0,2
0,0,0,0,1,1,1,0,10,8,5,50,77,4,2,1,1,2,2
0,0,1,1,1,0,1,0,0,9,4,40,71,7,3,1,1,3,0
0,0,0,0,0,0,0,0,6,8,10,14,76,5,3,1,1,1,1
1,0,1,0,0,1,0,0,3,10,3,7,72,16,1,1,1,2,3
1,1,1,0,1,0,1,0,1,8,4,22,81,0,2,1,0,1,1
0,0,1,0,0,1,1,0,0,14,0,8,75,0,3,1,0,0,2
0,0,0,1,0,1,0,0,-9,15,0,4,76,0,3,1,0,0,2
0,0,0,0,0,1,0,0,0,9,0,6,73,28,2,1,1,3,0
0,0,0,0,0,1,1,0,1,7,0,7,79,0,3,1,0,2,2
1,0,1,0,0,1,0,0,0,14,1,25,77,0,1,1,0,2,3
1,1,1,0,1,0,1,0,1,5,14,62,76,5,2,1,1,1,0
0,0,1,0,0,0,0,0,0,9,0,14,72,0,3,1,0,1,0
1,0,1,1,0,0,0,0,3,12,1,24,75,0,2,1,0,0,2
0,0,1,0,0,0,0,0,0,8,1,11,74,0,3,1,0,3,0
0,0,1,0,1,0,1,0,1,8,18,119,72,13,1,1,1,1,1
0,0,0,0,0,0,0,0,0,10,0,7,81,0,2,0,0,1,0
0,0,1,0,0,0,0,0,0,6,1,13,77,10,3,1,1,1,0
0,1,1,0,0,1,0,0,5,10,1,19,76,3,2,1,1,2,3
0,0,0,0,0,1,0,0,0,10,0,4,78,0,1,1,0,3,1
0,0,1,0,0,0,0,0,2,9,2,21,73,6,2,1,1,3,0
0,1,1,0,0,1,0,0,0,12,1,24,73,0,2,1,0,1,1
